timestamp,value
2025-06-06 01:15:00,12.6
2025-06-06 12:11:00,42.3
2025-06-06 23:43:00,3.9
2025-06-06 16:44:00,97.8
2025-06-06 19:50:00,60.2
2025-06-06 13:14:00,43.5
2025-06-06 19:07:00,43.5
2025-06-06 11:16:00,31.7
2025-06-06 09:25:00,99.2
2025-06-06 08:14:00,20.9
2025-06-06 07:39:00,24.4
2025-06-06 02:37:00,76.1
2025-06-06 06:00:00,64.6
2025-06-06 10:29:00,51.6
2025-06-06 05:56:00,
2025-06-06 22:40:00,64.4
2025-06-06 10:20:00,26.2
2025-06-06 05:30:00,
2025-06-06 02:56:00,54.7
2025-06-06 06:17:00,91.7
2025-06-06 16:34:00,56.1
2025-06-06 05:32:00,39.3
2025-06-06 08:33:00,48.7
2025-06-06 02:11:00,4.4
2025-06-06 00:51:00,22.1
2025-06-06 23:44:00,69.2
2025-06-06 02:45:00,not_a_number
2025-06-06 10:34:00,90
2025-06-06 11:20:00,
2025-06-06 22:29:00,71.2
2025-06-06 20:57:00,
2025-06-06 01:03:00,76.4
2025-06-06 03:58:00,9.3
2025-06-06 08:58:00,27.8
2025-06-06 18:50:00,44.5
2025-06-06 08:32:00,62.9
2025-06-06 04:23:00,81.6
2025-06-06 10:41:00,76.5
2025-06-06 02:16:00,92
2025-06-06 02:41:00,9.9
2025-06-06 07:52:00,58.2
2025-06-06 23:00:00,
2025-06-06 12:16:00,68.2
2025-06-06 12:31:00,21
2025-06-06 07:55:00,14.4
2025-06-06 23:56:00,27.9
2025-06-06 15:29:00,86.8
2025-06-06 23:28:00,15.8
2025-06-06 09:35:00,45.3
2025-06-06 13:13:00,82.2
2025-06-06 03:20:00,not_a_number
2025-06-06 18:54:00,5
2025-06-06 10:36:00,23.9
2025-06-06 06:34:00,62
2025-06-06 10:14:00,70.4
2025-06-06 22:35:00,83.2
2025-06-06 03:40:00,19.9
2025-06-06 15:05:00,66.8
2025-06-06 08:46:00,29.2
2025-06-06 18:54:00,40.9
2025-06-06 07:22:00,
2025-06-06 13:18:00,79.6
2025-06-06 01:12:00,84.6
2025-06-06 03:32:00,22.6
2025-06-06 04:53:00,58.9
2025-06-06 01:51:00,63.2
2025-06-06 11:24:00,18.4
2025-06-06 23:41:00,
2025-06-06 04:17:00,87.8
2025-06-06 02:30:00,45.8
2025-06-06 15:09:00,0
2025-06-06 21:46:00,47.3
2025-06-06 14:58:00,88.4
2025-06-06 21:52:00,86.2
2025-06-06 10:49:00,
2025-06-06 03:24:00,10.4
2025-06-06 07:55:00,83.5
2025-06-06 16:28:00,47.9
2025-06-06 10:02:00,not_a_number
2025-06-06 18:50:00,29.5
2025-06-06 06:16:00,58.5
2025-06-06 01:04:00,44.5
2025-06-06 21:30:00,33
2025-06-06 16:53:00,90.4
2025-06-06 01:17:00,38.6
2025-06-06 00:47:00,63.6
2025-06-06 14:43:00,77
2025-06-06 20:57:00,31.9
2025-06-06 06:20:00,60.8
2025-06-06 01:31:00,16.4
2025-06-06 00:59:00,48.9
2025-06-06 14:12:00,0.9
2025-06-06 01:09:00,93.3
2025-06-06 11:15:00,9.2
2025-06-06 13:32:00,52.2
2025-06-06 01:05:00,15.5
2025-06-06 12:51:00,84.1
2025-06-06 20:43:00,not_a_number
2025-06-06 10:23:00,64
2025-06-06 01:44:00,92.1
2025-06-06 15:37:00,not_a_number
2025-06-06 22:40:00,
2025-06-06 08:54:00,8.1
2025-06-06 23:54:00,not_a_number
2025-06-06 13:11:00,52
2025-06-06 09:36:00,79
2025-06-06 17:37:00,6.9
2025-06-06 09:02:00,15.8
2025-06-06 14:31:00,35.3
2025-06-06 01:28:00,88.3
2025-06-06 21:18:00,
2025-06-06 15:25:00,6.3
2025-06-06 18:40:00,26.5
2025-06-06 11:58:00,83.2
2025-06-06 01:18:00,82.3
2025-06-06 05:40:00,41.9
2025-06-06 20:37:00,3.4
2025-06-06 21:56:00,63.7
2025-06-06 19:18:00,33.2
2025-06-06 06:21:00,15.8
2025-06-06 17:18:00,87.7
2025-06-06 03:50:00,8.1
2025-06-06 05:35:00,
2025-06-06 20:20:00,85.9
2025-06-06 14:52:00,55.7
2025-06-06 23:22:00,71.9
2025-06-06 19:18:00,18.3
2025-06-06 20:08:00,44.7
2025-06-06 07:11:00,59.8
2025-06-06 10:36:00,38.7
2025-06-06 22:31:00,33.2
2025-06-06 03:39:00,99.9
2025-06-06 18:13:00,95.1
2025-06-06 22:37:00,
2025-06-06 14:05:00,64.6
2025-06-06 22:23:00,66.2
2025-06-06 13:27:00,3.9
2025-06-06 02:29:00,
2025-06-06 23:07:00,85.4
2025-06-06 09:21:00,97.8
2025-06-06 01:21:00,29.8
2025-06-06 07:31:00,92.1
2025-06-06 08:17:00,69.8
2025-06-06 21:59:00,89.2
2025-06-06 01:19:00,15.6
2025-06-06 00:07:00,48.4
2025-06-06 19:24:00,94.7
